text,label
"Breaking: Scientists discover water on Mars and aliens confirmed!",1
"Government announces new education policy for public schools.",0
"Celebrity says drinking bleach cures all diseases instantly!",1
"Local city launches new metro line for commuters.",0
"Miracle pill makes you lose 20kg in 2 days without diet!",1
"Weather department predicts rainfall in northern regions this week.",0
"Secret NASA report proves Earth will go dark tomorrow!",1
"University opens applications for engineering admissions.",0
"Doctors warn against viral false claims on social media.",0
"Fake article claims moon is made of cheese according to experts.",1
